Token	Score
four	21825.4897
ey 	21814.6507
y and 	21805.6205
inter	21754.9627
 seven	21751.7082
 st	21742.9771
by the	21738.7413
 bo	21737.6832
 also 	21716.8889
ding 	21696.5858
s in the 	21688.7209
ion of 	21674.5292
 but 	21660.9054
two zer	21641.5316
ism 	21590.5262
d in 	21549.9637
to be 	21534.0007
s re	21531.8829
 two	21519.5085
ere 	21421.1037
 lo	21367.4830
 sa	21331.3294
ated 	21325.3418
ms 	21316.7381
ly	21300.5259
ing t	21276.9842
rt	21248.6872
 or	21208.0661
 com	21190.6092
ss 	21184.1350
d by 	21047.9894
fi	21026.6960
son 	21024.7317
ay 	20997.8501
ian	20990.1851
land 	20956.5032
s were 	20912.7529
dis	20883.9120
nine	20880.9238
when 	20832.1749
y s	20824.8002
 four	20819.0723
b 	20769.8255
ing th	20769.6188
ree	20748.2935
 and t	20698.4241
ome	20693.6151
io	20624.4701
ke 	20507.4025
har	20488.9564
five	20474.1904
 n	20454.5979
of s	20438.8444
sh 	20430.1925
would 	20404.6273
su	20375.5960
e m	20369.8116
ee	20327.5917
gi	20325.5107
at the	20315.4317
am	20272.3790
they 	20191.0571
used 	20188.2248
been 	20185.3925
ant 	20181.0900
no 	20169.0422
tri	20155.3672
tes 	20145.3014
the r	20095.6442
 li	20060.5617
 fi	20054.2930
new 	20048.7132
ati	20014.0732
world 	19999.1517
tions 	19992.4838
 me	19988.8523
 has 	19967.2854
two	19965.0742
d t	19942.5430
int	19924.2331
 ho	19924.0091
e p	19910.7679
 not 	19910.2491
american	19905.7890
ne eight 	19896.2150
not	19889.2887
ul	19868.4139
n t	19862.0921
ven 	19855.3615
ure 	19791.7406
men	19777.7082
 nine	19769.6916
 le	19755.5309
ons	19733.6812
r a	19727.2279
 in one ni	19718.6761
cha	19709.3352
nti	19707.2708
e seven 	19680.7476
s to	19675.2845
 the a	19671.7002
 su	19652.9159
ver 	19648.8702
f the	19648.8543
system 	19640.9929
s e	19629.5128
 which	19592.4813
ight	19587.6159
the co	19581.8546
 the p	19571.1530
 si	19567.6723
s for 	19542.3785
such as 	19539.1099
rd 	19527.9721
e b	19524.3138
 five	19522.5527
ci	19521.3020
n and 	19518.1205
one nine t	19517.7612
d s	19498.7221
tive 	19465.5377
tr	19458.5890
ai	19450.6483
e re	19419.5153
tic	19412.0330
university	19352.8660
 have 	19343.6874
ance 	19339.6280
ad 	19335.7379
english 	19304.0968
ut 	19295.1260
one nine e	19268.5122
were	19254.3972
pi	19247.4444
nine nine	19246.1879
ring 	19244.7977
id 	19174.0408
wo zero ze	19171.1384
ke	19135.7101
ations 	19133.4724
 for the 	19120.2904
 two zer	19077.1595
as the	19072.7352
he s	19019.3099
lan	19013.5910
on th	19008.3319
e one 	18994.6926
car	18962.5363
im	18915.5452
par	18897.4933
 in t	18893.1293
ven	18888.4826
the d	18882.7408
han	18875.8919
 mi	18848.9921
e f	18839.8253
 and th	18824.0618
ran	18821.0477
 one n	18817.6071
ed th	18756.7682
ere	18747.7260
zero ze	18736.6931
r s	18733.5486
ru	18724.5361
this	18719.5594
is a 	18679.7703
um	18677.2645
t s	18672.4867
war	18662.6864
 fa	18660.4257
gen	18659.6077
ning 	18649.3214
so 	18616.5828
ed to	18613.1619
n th	18600.9862
a c	18586.5423
 american 	18585.6784
 un	18560.0859
rs	18543.6750
bu	18526.2930
these 	18519.9103
nine eight	18490.8670
ot	18479.9543
fo	18472.3086
ec	18450.0762
es and 	18416.9190
on a	18411.6357
 at 	18369.9333
ral 	18361.8087
 so	18350.2255
r the 	18344.1157
we	18339.8957
es a	18339.6015
e in 	18300.5000
 and a	18283.6138
ence 	18264.0501
e zero 	18260.0580
day 	18214.3508
tor	18188.4464
em	18181.5964
even	18168.4097
lso 	18160.1562
ix 	18151.1586
d th	18142.3912
very 	18108.5105
s are	18101.9487
wi	18088.1787
ig	18085.0735
comp	18066.0014
ks 	18049.2113
being 	18036.2904
 from	18019.2097
inte	18018.2911
gra	18006.8590
 in one 	17995.1508
in s	17958.2002
rt 	17945.5133
o s	17943.8574
t and 	17929.0526
ces 	17924.0704
nce	17920.2030
ero zero 	17915.9610
one seven 	17908.8152
led 	17904.2670
s b	17850.5388
ss	17850.3685
oo	17843.6315
fa	17838.2476
often 	17778.5915
national 	17752.6170
es the 	17749.8874
the l	17742.3984
ess 	17730.0581
che	17724.9346
ed in	17701.8766
ling 	17694.9780
ble	17683.9805
 k	17667.9780
va	17634.8047
ne nine	17603.1017
 ro	17597.6018
s of th	17577.4291
in a 	17562.6578
of a 	17542.8758
ded 	17535.1369
 with the 	17532.8010
from th	17530.2900
y the	17524.9734
ero 	17524.6980
 po	17509.4699
e two 	17493.7875
t t	17460.1352
america	17440.5165
ly a	17439.0291
governmen	17433.1330
 ra	17426.7584
o a	17412.2979
les	17400.4652
 zero ze	17391.8590
ot 	17380.6904
u 	17373.8385
tha	17372.7421
the re	17371.5750
 from the 	17369.2764
 hi	17310.6050
mor	17310.4667
 some 	17309.5640
ki	17280.4477
one one 	17278.4063
art	17271.1065
om 	17262.8861
 sta	17254.3173
pr	17254.0732
some	17238.6542
one five 	17208.2597
eve	17195.1520
 its 	17192.6494
 first 	17181.2934
 of s	17177.7718
ely 	17171.9368
history 	17163.4478
ed by	17159.0851
nts 	17157.9712
e d	17123.1120
e co	17120.4030
ice 	17118.1179
oc	17101.6702
called 	17101.2138
 and s	17099.9177
atio	17097.5726
 one eigh	17087.8988
ame 	17084.0356
one eigh	17065.6011
sed 	17047.1655
tin	17028.6131
 other	16998.7200
 do	16997.0813
der	16990.4231
 his	16974.4610
use	16969.5128
over 	16966.7180
d and 	16966.1606
use 	16965.4675
s p	16959.5309
way 	16939.2642
go	16912.8160
to s	16900.7639
id	16891.8208
that the 	16875.3096
 dis	16871.1270
mp	16859.3869
one n	16837.9024
ag	16829.7666
e three 	16823.0936
with th	16812.1421
 wi	16810.3140
 be 	16783.4149
s f	16765.1462
ide	16733.7024
ith 	16708.2827
 are	16703.4310
son	16690.1391
to t	16675.7351
ab	16668.5645
under	16661.9483
t th	16659.2451
city 	16649.8854
system	16630.7098
ck	16628.1211
e to 	16616.0952
lu	16585.4921
ed b	16574.8188
and c	16573.5592
people	16573.0939
in one n	16572.9301
of c	16570.3840
language 	16559.3555
have	16552.8185
 more 	16550.3425
british 	16512.1256
ari	16511.2153
a p	16500.5586
while 	16497.4824
 vi	16494.9085
s with 	16467.8596
n e	16459.8758
later 	16457.5247
wo zero 	16427.1069
d in	16422.6687
out 	16407.2149
the first 	16393.3396
e five 	16384.8287
 ne	16361.3325
year 	16351.7884
ali	16342.0852
 one zero 	16321.0409
ber	16315.7525
made 	16313.6199
 to th	16286.4597
into 	16280.8149
for th	16261.0758
lle	16258.0070
 en	16257.4509
r and 	16236.3560
land	16233.0860
universit	16220.9835
ore 	16220.8044
e of	16214.3427
wit	16209.5822
nc	16207.3110
 the m	16206.5753
language	16199.4074
pri	16196.9924
ton 	16181.3005
ans 	16175.3848
ting	16170.3516
ill	16165.2326
that the	16159.7491
e four 	16155.9791
ric	16153.1594
s m	16145.2299
tion of 	16140.3410
op	16115.4049
state	16105.7027
ction 	16102.4072
ps 	16084.7529
pla	16081.3488
five zero 	16069.6965
l a	16060.5850
ain 	16048.2647
ess	16032.8705
time	16016.7001
 had 	15999.1984
can be 	15994.3637
known 	15994.0565
ors 	15988.6979
s one 	15983.5416
about 	15966.5586
fe	15962.6470
o zero	15956.3992
part	15934.2565
 pre	15933.9071
 the f	15933.5510
 thre	15928.9820
ation of 	15911.1616
 not	15910.4433
tu	15893.2917
 who 	15839.8107
state 	15831.8044
s in the	15827.2229
 this	15825.2561
on t	15814.6918
nal	15802.2878
nine seven	15800.1321
one zero	15797.6411
ime 	15788.3844
ht 	15781.9872
 mar	15779.6166
na 	15776.3287
it was 	15774.9341
 the b	15765.3809
 an 	15759.3359
ka	15747.6942
than 	15740.3502
ned 	15739.3154
 their 	15735.8443
t is 	15735.0459
ties 	15730.0533
tly 	15727.1076
ow 	15726.2376
ct 	15723.3467
s r	15703.9027
e and	15702.6081
 the e	15695.1195
 te	15694.2529
str	15687.7273
including 	15681.7310
during 	15650.7810
n in	15650.6403
der 	15631.0007
du	15617.3317
cs 	15615.3229
 a s	15615.0326
ear	15608.5288
d b	15599.0260
n i	15593.0858
own 	15584.5299
national	15582.2665
first	15556.6527
l s	15555.3693
 ch	15545.4312
ne seven 	15534.2829
out	15533.1311
red	15516.6928
the i	15511.2860
thi	15509.9966
ove	15489.6833
both 	15485.2637
form	15483.7047
ical	15482.2041
des	15462.2961
 u	15460.7865
s co	15451.4166
he a	15446.8377
ster	15436.6671
john 	15427.5455
 however 	15400.0780
ses 	15377.2992
ten	15358.7339
ap	15323.9758
e r	15264.4392
 the t	15259.3900
where 	15246.4280
ries 	15243.5985
thre	15240.3679
ments 	15240.3631
 is a	15238.2437
ain	15234.3396
n o	15211.4742
 da	15210.8577
 comp	15189.1273
ct	15169.7712
nine one 	15167.4485
 ga	15166.6260
n of 	15165.1071
ast	15140.3359
 most 	15128.1074
es of 	15118.0827
ins	15116.0117
during the	15103.7424
able	15094.0897
e six 	15092.1363
ell	15089.8041
ron	15082.6026
 many 	15070.0134
e ma	15068.4748
ore	15054.0438
however	15050.7964
one two 	15042.4617
 between 	15036.7578
ard 	15023.4884
also	15022.7345
the o	15019.5061
 on the	15016.3637
s d	15013.6834
nation	15006.0158
ori	15005.9802
because 	14985.8070
 car	14985.6114
more	14976.7250
he c	14956.3737
is the	14955.3066
 people 	14953.8725
has	14953.4189
sti	14952.9156
tal	14947.2151
 it is 	14941.8226
o zero zer	14918.5986
nte	14908.6150
sp	14907.8497
port	14895.4587
am 	14877.7534
il 	14849.1162
although 	14847.7440
chi	14838.6595
s such as 	14825.8165
ew 	14819.4946
 for the	14811.8103
ved 	14807.2834
 tr	14805.9218
sto	14796.2781
ual 	14785.6873
an e	14772.3338
s for	14765.5465
king	14758.0999
up 	14754.3349
e eight	14753.7474
 man	14753.0077
but	14724.2893
ame	14720.3853
tro	14708.8002
the g	14697.5826
one six 	14660.8380
up	14650.2903
and p	14641.6421
n c	14632.8788
became 	14624.0841
and i	14615.5258
under 	14586.6092
 in a	14578.1570
such 	14573.4589
ort	14568.8306
e one nine	14565.7882
with a	14561.5420
ities 	14555.1253
 pe	14553.9138
nine zero 	14538.8723
work 	14537.2776
ele	14532.2120
rin	14508.0415
eir 	14483.9835
he was 	14477.0261
less 	14476.2191
 it	14469.9534
nin	14447.0275
e of the 	14435.8714
ship 	14432.1439
ying 	14429.1272
y t	14423.5963
eri	14411.2095
ost 	14404.2377
on s	14382.4708
 tha	14355.5965
and e	14311.2829
will 	14309.6225
early 	14301.1794
sts 	14297.3387
 nine nine	14296.6863
iti	14296.2555
hich 	14272.3340
was a	14269.2913
 we	14264.0975
age	14257.9441
s ma	14256.3894
wor	14248.7294
t to 	14241.9972
 at the 	14228.5005
tor 	14225.9009
od	14224.9595
in one	14221.1340
year	14215.9595
like 	14209.4216
ing s	14199.7797
 ta	14192.1557
ani	14185.1363
e an	14183.0111
 time 	14171.7131
what 	14164.8140
ro zero	14154.0096
ves 	14149.1994
 bu	14148.0250
general 	14145.2179
ren	14136.8174
ass	14134.9570
 par	14118.2430
 bi	14111.6593
rit	14104.0223
ed by the 	14092.7927
between	14086.8168
d to	14044.2801
o the	14044.1761
external l	14032.9860
mer	14019.7304
ssi	14008.0121
ub	14002.4261
general	13998.5518
may 	13997.9375
ow	13993.5421
que	13985.6124
line 	13984.9245
ast 	13983.9678
ese 	13979.5490
ep	13971.6327
d i	13966.6552
s from 	13960.5166
 wit	13959.1620
othe	13944.6630
and m	13941.2417
 at	13939.6984
ists 	13936.0517
 ex	13930.0446
 in one n	13917.1177
 seve	13908.9999
name 	13887.7475
 years 	13856.9936
n b	13850.1160
cu	13845.4152
wn 	13840.6478
sion 	13833.5645
seve	13830.9562
 is the 	13825.4498
zero one 	13820.5502
ite 	13818.5781
of m	13814.4156
s of t	13812.5948
their	13796.1815
several 	13787.5774
bra	13753.8687
usually 	13753.8247
 inter	13735.1173
ght	13733.5775
ze	13733.4072
eigh	13728.1797
ose 	13720.7558
by	13719.4083
cons	13707.0479
different 	13703.1760
ings 	13678.3704
 zer	13676.8712
after	13637.0015
r t	13633.1002
each 	13625.5163
ates 	13617.2517
wo	13610.2915
war 	13607.9842
ry	13600.1205
und	13591.3344
gu	13590.7706
nine six 	13584.5279
uni	13581.1200
life 	13572.7037
ans	13570.9673
es the	13566.7902
 american	13566.2905
ies	13557.7211
ted	13540.8602
e l	13540.6794
ite	13536.3022
end	13536.2076
ions	13529.3628
to be	13528.5221
cy 	13526.3958
y th	13504.1305
 after 	13503.3603
a and 	13502.7574
qui	13499.1675
have been 	13494.3667
 inte	13492.7254
ed s	13469.5386
s that	13467.1257
by th	13467.0116
 only 	13458.2845
act	13452.2425
before 	13442.8485
 the l	13436.0759
v 	13421.4024
wo zero z	13420.4681
old 	13414.1650
e nine	13406.2786
here 	13405.9142
ure	13398.5340
ts	13396.0054
ction	13392.4381
e de	13381.7818
 by	13380.4280
s as 	13380.1446
ous	13376.7628
 with the	13363.6303
inc	13360.5720
 by the 	13360.2902
a b	13355.6830
two one 	13352.6704
of e	13338.5884
german	13338.2958
ei	13329.1880
r the	13324.1403
at th	13323.8327
 all 	13320.8470
french 	13319.3608
mat	13314.3382
wer	13301.8171
ton	13293.0726
al a	13287.0758
 go	13279.5491
s ar	13269.9398
ica	13268.0495
its	13267.0546
d c	13259.2126
e a 	13256.4167
zer	13242.4710
ris	13239.1649
for a	13235.2448
ed with 	13225.3571
has been 	13213.4639
col	13211.5320
ne eight	13206.4781
nter	13203.9384
s w	13203.6787
 six	13202.1269
cor	13201.4448
als 	13201.3895
is s	13193.5399
pol	13184.6264
ost	13182.7294
 the r	13171.2654
e w	13161.1179
igh	13157.5152
sm 	13147.0947
power 	13144.1697
ip	13136.6698
another 	13129.1164
ics 	13126.4308
 per	13116.3519
ard	13107.1182
 to t	13106.7354
see 	13103.7946
 they 	13099.8753
and w	13091.5010
ob	13083.4961
 of c	13083.1688
ster 	13080.0589
he p	13077.3321
t c	13074.5132
hat	13073.8670
see also 	13071.3882
ed i	13069.1683
of the s	13069.0909
s h	13060.0752
ill 	13052.9454
 to a	13046.0816
the n	13039.3139
ose	13033.5336
rec	13033.1004
 would 	13030.6329
on of 	13024.6349
 new 	13020.7492
t b	13018.2613
tan	13003.6449
e h	12978.6282
 some	12975.1068
ial	12965.7829
s de	12962.1969
t i	12936.4328
it is	12917.1714
ral	12910.4765
xi	12909.1764
d a 	12907.6526
ory 	12904.0584
 when 	12902.0364
the w	12899.1656
oli	12897.7981
 tra	12895.3956
au	12893.4557
ple	12891.4963
ero	12891.0382
lea	12888.8320
a co	12887.9981
er s	12883.4628
y o	12881.4637
nine eigh	12872.7971
of the c	12869.2334
ology 	12859.6710
she	12855.2313
six zero 	12851.0497
during th	12844.8381
gre	12841.8664
from t	12841.1081
such as	12836.1733
gs 	12835.9081
through 	12828.9819
em 	12828.7844
a a	12820.4888
jo	12819.9984
tio	12817.2900
 america	12816.8959
ne zero 	12812.0454
lar	12800.9863
trans	12793.6903
is t	12787.2306
 from the	12785.1874
ance	12778.7822
ph	12776.2339
nes	12765.7710
 pla	12764.5006
 the co	12763.2738
military 	12756.7134
tur	12753.9216
most	12751.4830
y c	12741.8366
e se	12728.2856
spe	12726.8898
h a	12721.7933
 as a 	12697.2197
y in	12686.8027
character	12686.0656
n one 	12683.7545
ally	12677.2724
eg	12668.8803
ja	12668.0866
s which 	12667.3663
 is a 	12664.8059
t in	12664.2297
merican 	12661.0100
ion of	12659.2630
ving 	12656.0148
ug	12653.4735
a t	12651.9003
t o	12646.4749
pl	12642.3482
val	12639.3830
name	12638.7868
od 	12637.3321
rac	12627.8910
 governmen	12619.1580
public 	12618.9871
med 	12613.7778
og	12613.6080
rd	12585.1254
of p	12570.1566
y of	12566.0173
sho	12563.7552
 v	12557.3215
long 	12551.3808
er a	12548.0093
ith	12547.0754
english	12540.3626
kin	12538.0589
nine four 	12518.3871
ine nine 	12517.9483
ra 	12517.1313
 fou	12511.4968
united sta	12509.4609
lli	12506.3409
the ma	12505.4146
 fr	12497.0111
music 	12490.1098
ne five 	12488.9245
with a 	12488.3860
and o	12487.1502
 of a 	12482.6070
e g	12481.4174
nine nin	12478.3116
bri	12474.7374
onal 	12463.7280
ene	12462.4622
nine five 	12458.0379
des 	12453.1964
e is 	12446.4914
six	12437.3396
ges 	12437.2942
mu	12429.0016
ave 	12423.8268
 cha	12422.3670
two ze	12405.8214
ana	12402.8472
ade	12387.2239
hol	12366.5894
ents 	12363.7622
new	12363.3197
 eigh	12363.0675
eas	12357.4285
different	12340.8070
f th	12338.7751
ser	12334.4009
 na	12333.6998
nu	12327.7028
one seven	12324.6314
known as 	12317.8008
 wh	12316.2452
 pri	12314.1121
with t	12299.2557
vo	12296.0604
e seven	12278.2812
pen	12272.2754
 world 	12265.7570
ind	12264.9812
es th	12264.1637
rg	12252.9847
states 	12250.4555
him 	12235.0093
 sp	12234.3457
sc	12221.6099
one of the	12218.2976
lit	12217.9468
d e	12215.8457
 english 	12212.7053
n m	12212.1694
german 	12211.2485
